Time;User full name;Action;Information
17.12.2013 12:11;576228;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=31155);satz.wav
17.12.2013 12:11;801650;assign view (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);View own submission status page.
17.12.2013 12:10;801650;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=31320);Solutions for exercise 6
17.12.2013 12:09;801650;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 12:03;967490;assign submit (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);Submission status: Submitted for grading. The number of file(s) : 1 file(s).
17.12.2013 12:03;967490;assign view (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);View own submission status page.
17.12.2013 12:02;967490;assign view submit assignment form (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);View own submit assignment page.
17.12.2013 12:02;967490;assign view (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);View own submission status page.
17.12.2013 12:02;967490;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 12:02;967490;hotpot view (https://www.isis.tu-berlin.de/2.0/mod/hotpot/view.php?id=32533);Midterm Exam (One Try Only!)
17.12.2013 12:02;967490;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 11:54;893721;assign view (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);View own submission status page.
17.12.2013 11:54;893721;assign submit (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);Submission status: Submitted for grading. The number of file(s) : 1 file(s).
17.12.2013 11:54;893721;assign view submit assignment form (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);View own submit assignment page.
17.12.2013 11:53;983015;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=33434);Homework 7
17.12.2013 11:53;893721;assign view (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);View own submission status page.
17.12.2013 11:53;983015;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=33435);Material for homework 7
17.12.2013 11:53;983015;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 11:53;893721;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 11:53;983015;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=33434);Homework 7
17.12.2013 11:53;983015;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 11:44;630272;course view (https://www.isis.tu-berlin.de/2.0/course/view.php?id=661);[WiSe 13/14] Sprachkommunikation 
17.12.2013 11:44;630272;assign view (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);View own submission status page.
17.12.2013 11:44;630272;assign submit (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);Submission status: Submitted for grading. The number of file(s) : 1 file(s).
17.12.2013 11:44;630272;assign view submit assignment form (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);View own submit assignment page.
17.12.2013 11:43;786144;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=31320);Solutions for exercise 6
17.12.2013 11:40;786144;resource view (https://www.isis.tu-berlin.de/2.0/mod/resource/view.php?id=31320);Solutions for exercise 6
17.12.2013 11:40;630272;assign view (https://www.isis.tu-berlin.de/2.0/mod/assign/view.php?id=31523);View own submission status page.
